location,latitude,longtitude
匝瑳椿,35.716941,140.568303
東金堀上,35.550365,140.376100
茂原高師,35.431073,140.292896
横芝光横芝,35.659356,140.482941
勝浦小羽戸,35.183356,140.253547
野田桐ケ作,36.056403,139.806320
野田宮崎,35.947704,139.883808
流山平和台,35.854563,139.904698
柏永楽台,35.844448,139.968798
柏大室,35.902102,139.963777
松戸根本,35.789886,139.899444
松戸上本郷,35.797313,139.913503
市川大野,35.755368,139.950631
市川本八幡,35.756234,139.946164
市川行徳,35.681725,139.913128
浦安猫実,35.660227,139.892716
船橋印内,35.715941,139.962351
船橋高根台,35.730859,140.036663
船橋日の出,35.684389,139.977612
鎌ケ谷軽井沢,35.791125,140.018643
八千代高津,35.714425,140.090803
習志野鷺沼,35.677958,140.028437
習志野秋津,35.671783,140.010935
(千葉)花見川小学校,35.694283,140.097594
(千葉)宮野木,35.656925,140.101580
(千葉)千城台北小学校,35.628990,140.183104
(千葉)寒川小学校,35.597386,140.120896
(千葉)蘇我保育所,35.581140,140.133173
(千葉)土気,35.538074,140.272941
(千葉)真砂公園,35.641098,140.064064
(千葉)千草自排,35.637482,140.116931
(千葉)真砂自排,35.641496,140.062918
四街道鹿渡,35.669576,140.174778
佐倉江原新田,35.729385,140.202846
市原八幡,35.536512,140.122997
市原五井,35.515562,140.085169
市原姉崎,35.477838,140.047563
市原廿五里,35.490381,140.080200
市原潤井戸,35.511398,140.170780
市原岩崎西,35.524767, 140.071625
市原郡本,35.517468,140.117288
袖ケ浦長浦,35.451044,139.986271
木更津中央,35.376401,139.936690
君津俵田,35.319161,140.056155
富津下飯野,35.314162,139.857475
香取羽根川,35.844359,140.589243
成田加良部,35.774703,140.298329
成田花崎,35.777355,140.316387
印西高花,35.796117,140.137022
我孫子湖北台,35.864822,140.070568
柏大津ケ丘,35.840842,140.000737
館山亀ケ原,35.018355,139.882615
八街市八街,35.654619,140.291723
野田市野田,35.942787,139.863580
市川稲荷木,35.708478,139.921190
袖ケ浦大曽根,35.414591,140.017171
君津久保,35.330446,139.902851
一宮東浪見,35.350955,140.379250
木更津牛袋,35.404045,139.954283
銚子栄,35.726480,140.827090
栄安食台,35.842114,140.244227
袖ケ浦坂戸市場,35.427941,139.947935
成田奈土,35.856541,140.421294
白井七次台,35.796965,140.043538
鋸南下佐久間,35.111275,139.845578